date,matchup,result,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,fg3_pct,ft_pct,plus_minus
"Mar 27, 2026",LAL vs. BKN,W,37.0,14,6,8,1,0,1,0.455,0.0,0.571,19
"Mar 25, 2026",LAL @ IND,W,34.0,23,9,9,1,0,1,0.529,0.0,1.0,24
"Mar 23, 2026",LAL @ DET,L,39.0,12,9,10,0,1,4,0.4,0.5,1.0,-8
"Mar 21, 2026",LAL @ ORL,W,34.0,12,6,4,3,0,1,0.385,0.0,1.0,4
"Mar 19, 2026",LAL @ MIA,W,38.0,19,15,10,0,0,3,0.667,0.0,0.6,4
"Mar 18, 2026",LAL @ HOU,W,34.0,30,5,2,1,1,2,0.929,1.0,0.667,0
"Mar 16, 2026",LAL @ HOU,W,33.0,18,5,5,2,0,1,0.538,0.333,0.75,13
"Mar 14, 2026",LAL vs. DEN,W,40.0,17,6,5,2,0,5,0.538,0.333,0.667,6
"Mar 12, 2026",LAL vs. CHI,W,33.0,18,7,7,2,1,4,0.538,0.0,0.667,12
"Mar 05, 2026",LAL @ DEN,L,34.0,16,5,8,3,1,1,0.636,0.0,1.0,-10
